"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000f079e68bbcc79ab9600ace786b0a4db1c83c","10.0121152686035","No"
"0x0003092ffbaaaa22d8d9c9715b357e01db1915b7","21631.8686205969","No"
"0x0003493982d73ea429b92a27fdb250e06d2f599e","32056.2367431134","No"
"0x0004351a688ef6bada59e393a98c77cc648fd946","360262","No"
"0x00058be94b9fdbc9b5811049a387c1e34895d2ce","523.611087985794","No"
"0x00063be5d1c87f666d6b17d14e5bcbb1f338398d","250836.58294537","No"
"0x000a7bd0d7bbcc57ed649c3707bc76a0f381d064","32864.6867603232","No"
"0x000a7d9c60ea97577893eb45ac35762cd5576e27","24720","No"
"0x000b8bb24eef2aa087ca5921d919837cdc52b2a6","1937.02938625","No"
"0x000f60a51aa33d298b84e657a047da887559b405","10112","No"
"0x001008fcc5d9317663c1d91098b6bf1cfa3d1bea","15490","No"
"0x00100dcd526a371d535416d2e9aab9abb7f9e1b8","18503.8156","No"
"0x001062fa6971312c2d6116d3a9ede959349b8cdf","1.52748706597191","No"
"0x0011b9d9c2ee3ea730c644e5b57d7a572f87be10","10534.9649226826","No"
"0x0011dc7ab37a0b51fa21173753a178dd1b4d5af1","3005.3484","No"
"0x0012537c6a1844f380fd883b3a5834424f7fb4d7","8939","No"
"0x0012b70262a6887e169ac6c5fd090315c3706a96","91485.97617221","No"
"0x0013878f3219df6032226cbfdcdd4dbe787ca51f","1800","No"
"0x00149f8289580695657e2cd15fc9d5e07115d1cd","1000","No"
"0x0015eef4843d91d1dc6c52869e8dcf1ae4acad1b","77720","No"
"0x001876c9105dd3829945fe88d5cb93c2494c59b1","33308.60268288","No"
"0x001959edeb57fb3817fde06c6da1c0e56cc8fc6f","326057.131","No"
"0x0019b96e28019534fdd444b63a15d3f379d63fdc","24973.3481","No"
"0x001ad1b586b5b91d482d88556fcc73f4e5c8582a","0.1","No"
"0x001aed0117c314017725682f8019ddb23254870c","168445.930121552","No"
"0x001bc823c35e99a9e210c3ca755a687a38a09109","5509","No"
"0x001d451450564c9c79cdd0fccc3ef5573ff3b7f2","101530.848273058","No"
"0x0022339d1e1a546fcd4da2c8369c3bee59495d4a","0.0100000099908144","No"
"0x00232ab6ae896b13f4750317dd7b0ee2e948dd85","3903.70296069533","No"
"0x002471c86e9e97d393d84bddfa7d555a7fa2917a","467.465200554951","No"
"0x002493958b8453931b6dbe77796cb32b884e26e1","9654.36202","No"
"0x0026327344fb69cb1f65ec87607ba9262b5aa439","16109.0846707152","No"
